Constituency,Youth_Electorate_Pct,Senior_Electorate_Pct,First_Time_Voter_Pct,Male_Pop,Female_Pop,Female_to_Male_Ratio,Female_Pop_Pct,Pucca_Pct,Semi_Pucca_Pct,Kancha_Pct,Jhupri_Pct,Extreme_Poverty_Pct,Wealth_Polarization_Index,Organized_Learning_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,NEET_Youth_Pct,Financial_Inclusion_Pct,Internet_Pct,Winning_Party,Winner_Name,Winner_Votes,RunnerUp_Votes,Voter_Turnout_Pct,Total_Valid_Votes,Total_Registered_Voters,YES_Pct,NO_Pct,Coalition,Winner_Vote_Share_Pct,Victory_Margin_Pct,Digital_Youth_Index,Urban_Proxy,WPI_Log,Infrastructure_Composite,Deprivation_Index
Satkhira-1,32.7,14.22,11.88,67968.89,69921.89,101.52,50.23,37.43,23.6,38.56,0.41,38.97,1.52,61.89,62.21,99.59,7.22,36.26,50.73,27.11,Bangladesh Jamaat-e-Islami,Md. Izzat Ullah,193772.0,169995.0,75.67,364910.0,490993.0,65.32,34.68,JAMAAT_REFORM,53.10131265243485,6.51585322408265,886.4970000000001,2.702446,0.924258901523332,56.34,37.614999999999995
Sylhet-2,45.27,11.63,17.28,70414.25,74279.5,108.73,52.06,27.7,30.39,40.82,1.09,41.91,0.67,48.28,62.91,99.29,6.38,37.23,35.88,31.56,Bangladesh Nationalist Party,Mosammat Tahsina Rushdi,116697.0,37446.0,44.39,157568.0,364101.0,,,BNP_COALITION,74.06135763606824,50.29637997562957,1428.7212,1.76726,0.5128236264286637,56.19333333333333,39.56999999999999
Gazipur-2,46.35,5.43,12.02,109814.67,99415.5,80.66,43.28,55.44,28.65,15.78,0.13,15.91,1648.03,48.96,44.07,99.74,79.76,25.85,55.98,43.1,Bangladesh Nationalist Party,M. Manjurul Karim Rony,188606.0,140950.0,44.56,348174.0,799098.0,75.05,24.95,BNP_COALITION,54.17004141607358,13.687409168978729,1997.6850000000002,44.218944,7.407942515238259,74.52333333333333,20.880000000000003
Jashore-5,33.17,14.75,12.26,223125.0,231391.0,103.7,50.91,27.9,21.71,49.68,0.72,50.4,0.55,58.33,58.32,99.6,2.51,36.3,46.78,25.76,Bangladesh Jamaat-e-Islami,Gazi Enamul Haque,132876.0,85045.0,76.56,277937.0,369078.0,66.45,33.55,JAMAAT_REFORM,47.80795647934604,17.209295631743885,854.4592000000001,0.70029,0.4382549309311553,53.47666666666666,43.349999999999994
Mymensingh-7,39.68,13.87,14.19,243437.0,248030.0,101.89,50.47,6.33,24.78,68.5,0.38,68.88,0.09,62.53,65.54,99.6,37.57,28.54,51.96,39.49,Bangladesh Nationalist Party,Dr. Md. Mahabubur Rahman,99049.0,84851.0,56.65,220447.0,399637.0,76.73,23.27,BNP_COALITION,44.930981142859736,6.440550336362028,1566.9632000000001,2.378181,0.08617769624105233,67.57,48.709999999999994
Lakshmipur-2,40.84,13.66,15.28,305621.2,342047.8,108.8,52.07,33.12,11.68,55.11,0.09,55.2,0.69,52.71,53.16,98.88,12.12,35.66,46.3,23.74,Bangladesh Nationalist Party,Md. Abul Khair Bhuiyan,146321.0,133698.0,59.95,282480.0,483962.0,71.97,28.03,BNP_COALITION,51.798711413197395,4.46863494760691,969.5416,4.014143999999999,0.5247285289349821,54.72,45.43
Brahmanbaria-2,44.74,11.02,18.2,92226.33,102207.67,101.97,50.3,36.19,10.6,53.13,0.07,53.21,1.03,47.62,50.55,99.84,31.23,42.0,38.08,35.18,Independent Candidate,Rumin Farhana,118547.0,80434.0,48.9,234675.0,493491.0,68.61,31.39,INDEPENDENT_OTHER,50.51539362948759,16.240758495792054,1573.9532000000002,11.302137,0.708035793053696,60.53999999999999,47.605000000000004
Panchagarh-1,37.58,12.1,13.64,187439.2,187337.8,99.67,49.91,6.68,29.59,63.06,0.67,63.73,0.16,57.66,63.55,99.07,9.7,33.12,50.2,18.76,Bangladesh Nationalist Party,Mohammad Nawshad Zamir,176169.0,168049.0,77.39,346256.0,458802.0,,,BNP_COALITION,50.87825192920845,2.3450857169262047,705.0008,0.6479599999999999,0.14842000511827327,57.44,48.425
Joypurhat-2,30.62,14.55,11.02,38104.17,39893.83,104.19,51.02,14.8,17.17,67.91,0.11,68.02,0.25,63.77,57.1,99.43,9.7,34.83,54.46,26.11,Bangladesh Nationalist Party,Md. Abdul Bari,158065.0,92517.0,73.42,249656.0,348101.0,,,BNP_COALITION,63.31311885153972,26.25532733040664,799.4882,1.4356,0.22314355131420976,55.41,51.425
Moulvibazar-3,43.05,12.2,16.67,271794.8,292492.8,106.35,51.5,27.8,29.26,42.57,0.37,42.95,1.51,53.98,66.33,98.98,31.56,33.23,44.09,36.84,Bangladesh Nationalist Party,Naser Rahman,154545.0,74362.0,50.56,236699.0,479458.0,,,BNP_COALITION,65.29178408020313,33.87551278205654,1585.962,8.773679999999999,0.9202827531436926,65.62333333333333,38.09
